	000001.sz	000002.sz	000009.sz	000024.sz	000039.sz	000069.sz	000400.sz	000401.sz	000402.sz	000425.sz	000536.sz	000562.sz	000581.sz	000598.sz	000623.sz	000629.sz	000630.sz	000656.sz	000686.sz	000728.sz
58	9.88	8.2	7.25	22.4	7.86	5.71	11.28	14.15	9.2	13.07	3.22	7.71	5.71	1.59	19.21	6.35	13.12	5.34	21.16	15.3
59	10.32	8.4	7.41	22.7	8.14	5.78	11.45	14.2	9.35	13.44	3.22	7.95	5.82	1.59	20.38	6.36	13.12	5.34	22.66	15.93
60	10.23	8.33	7.53	22.12	8.21	5.69	11.52	13.97	9.37	13.66	3.22	7.89	6.21	1.59	20.74	6.38	13.64	5.34	22.67	15.7
61	10.02	8.22	7.35	21.41	8.34	5.59	11.24	13.85	9.13	13.7	3.22	8.2	6.31	1.59	20.9	6.39	13.45	5.34	23.05	16.38
62	9.96	8.28	8.09	22.37	8.4	5.63	11.52	13.85	9.09	13.91	3.22	8.57	6.53	1.59	21.73	6.37	13.27	5.34	23.18	17.06
63	10.12	8.48	8.1	22.28	8.43	5.74	11.38	14.1	9.42	13.66	3.22	9.3	6.43	1.59	22.08	6.37	13.78	5.34	23.45	17.78
64	10.44	8.62	8.15	22.49	8.68	5.8	11.31	14.59	9.63	13.65	3.22	9.18	6.39	1.59	22.34	6.38	14.68	5.34	22.68	17.5
65	10.47	8.67	7.78	22.2	9.14	5.83	11.31	14.16	9.57	13.93	3.22	8.88	6.4	1.75	21.72	6.39	13.98	5.34	21.95	17.35
66	10.47	8.67	7.78	22.2	9.14	5.83	11.31	14.16	9.57	13.93	3.22	8.88	6.4	1.75	21.72	6.39	13.98	5.34	21.95	17.35
67	10.41	8.59	8.11	21.62	9	5.6	11.61	13.9	9.75	13.94	3.22	9.05	6.32	1.93	20.45	6.41	14.98	5.34	22.07	17.48
68	10.04	8.19	7.91	20.79	8.7	5.41	11.35	13.8	9.35	13.35	3.22	8.34	6.39	2.12	20.22	6.41	14.08	5.34	20.84	15.99
69	10.22	8.39	8	21.4	8.76	5.57	11.42	14.35	9.41	13.48	4.83	8.52	6.16	2.05	20.42	6.41	14.79	5.34	21.29	16.47
