date	深证	上证
2011-08-05	-0.019494	-0.021466
2011-08-04	0.00101	0.002074
2011-08-03	-0.000811	-0.000289
2011-08-02	-0.005863	-0.00907
2011-08-01	0.001	0.00076
2011-07-29	-0.007901	-0.002602
2011-07-28	-0.002553	-0.005403
2011-07-27	0.009021	0.007572
2011-07-26	0.003534	0.005311
2011-07-25	-0.03127	-0.02961
2011-07-22	0.004154	0.00177
2011-07-21	-0.00747	-0.010132
2011-07-20	0.001012	-0.000993
2011-07-19	-0.008734	-0.006996
2011-07-18	-0.00131	-0.001234
2011-07-15	0.005314	0.00346
2011-07-14	-0.003071	0.005354
2011-07-13	0.017196	0.014846
2011-07-12	-0.013697	-0.017166
2011-07-11	0.002759	0.001758
2011-07-08	0.000921	0.001255
2011-07-07	-0.002636	-0.005768
2011-07-06	-0.001181	-0.002086
2011-07-05	-0.000064	0.001257
2011-07-04	0.021603	0.019373
2011-07-01	0.005545	-0.000983
2011-06-30	0.016598	0.012312
2011-06-29	-0.011114	-0.011133
2011-06-28	0.001729	0.000352
2011-06-27	0.002519	0.004377
2011-06-24	0.018748	0.021561
2011-06-23	0.020068	0.014694
2011-06-22	0.002925	0.001072
2011-06-21	0.016005	0.009625
2011-06-20	-0.007055	-0.00816
2011-06-17	-0.002346	-0.008057
2011-06-16	-0.015494	-0.015209
2011-06-15	-0.009893	-0.009014
2011-06-14	0.018231	0.010984
2011-06-13	-0.006158	-0.001761
2011-06-10	0.006964	0.000665
2011-06-09	-0.021078	-0.017068
2011-06-08	0.00169	0.002182
2011-06-07	0.008491	0.005968
2011-06-03	0.011809	0.008443
2011-06-02	-0.016522	-0.013993
2011-06-01	0.002973	0.000036
2011-05-31	0.016286	0.013713
2011-05-30	-0.001262	-0.001323
2011-05-27	-0.003295	-0.009713
2011-05-26	-0.007293	-0.001902
2011-05-25	-0.011448	-0.009149
2011-05-24	0.000659	-0.002708
2011-05-23	-0.034441	-0.029348
2011-05-20	0.00024	-0.00039
2011-05-19	-0.005934	-0.004594
2011-05-18	0.008426	0.00701
2011-05-17	0.00641	0.001301
2011-05-16	-0.008667	-0.00765
2011-05-13	0.006991	0.009475
2011-05-12	-0.010687	-0.013642
2011-05-11	-0.001172	-0.002496
2011-05-10	0.007582	0.006327
2011-05-09	0.004757	0.002994
2011-05-06	-0.001521	-0.002965
2011-05-05	0.001291	0.002229
2011-05-04	-0.028419	-0.022567
2011-05-03	0.008972	0.007102
2011-04-29	0.013478	0.008475
2011-04-28	-0.016962	-0.013114
2011-04-27	-0.007198	-0.004618
2011-04-26	-0.004759	-0.008759
2011-04-25	-0.01577	-0.015136
2011-04-22	-0.007058	-0.005336
2011-04-21	0.003521	0.006528
2011-04-20	-0.003547	0.002666
2011-04-19	-0.015544	-0.019065
2011-04-18	0.002745	0.00223
2011-04-15	-0.002015	0.002593
2011-04-14	-0.008408	-0.002545
2011-04-13	0.01549	0.009608
2011-04-12	-0.001766	-0.000456
2011-04-11	-0.008529	-0.002401
2011-04-08	0.011293	0.007351
2011-04-07	0.011756	0.002182
2011-04-06	0.003264	0.011441
2011-04-01	0.010867	0.013421
2011-03-31	-0.007765	-0.009358
2011-03-30	-0.001293	-0.00078
2011-03-29	-0.015371	-0.008689
2011-03-28	-0.005142	0.002079
2011-03-25	0.013359	0.010557
2011-03-24	-0.005767	-0.000601
2011-03-23	0.014073	0.010049
2011-03-22	0.001861	0.003439
2011-03-21	-0.006152	0.000774
2011-03-18	0.005637	0.003309
2011-03-17	-0.016717	-0.011432
2011-03-16	0.012627	0.011929
2011-03-15	-0.019522	-0.014083
2011-03-14	0.008583	0.001306
2011-03-11	-0.01206	-0.007895
2011-03-10	-0.011655	-0.014993
2011-03-09	0.001068	0.000737
2011-03-08	0.000251	0.001245
2011-03-07	0.01916	0.018321
2011-03-04	0.01541	0.013547
2011-03-03	-0.014138	-0.003717
2011-03-02	-0.005286	-0.001751
2011-03-01	0.003587	0.004773
2011-02-28	0.021257	0.009202
2011-02-25	0.004409	-0.000013
2011-02-24	0.006862	0.005578
2011-02-23	0.001553	0.002493
2011-02-22	-0.031007	-0.026168
2011-02-21	0.020562	0.011192
2011-02-18	-0.013702	-0.009283
2011-02-17	-0.007492	0.001049
2011-02-16	0.013633	0.008505
2011-02-15	-0.002059	0.000036
2011-02-14	0.036226	0.025397
2011-02-11	0.010023	0.003252
2011-02-10	0.030707	0.015897
2011-02-09	-0.01531	-0.008894
2011-02-01	-0.000264	0.002962
2011-01-31	0.008446	0.013784
2011-01-28	0.008384	0.001309
2011-01-27	0.016868	0.014891
2011-01-26	0.013393	0.011721
2011-01-25	-0.003703	-0.006784
2011-01-24	-0.012976	-0.007209
2011-01-21	0.00633	0.014058
2011-01-20	-0.041421	-0.029167
2011-01-19	0.025057	0.018132
2011-01-18	0.00315	0.000857
2011-01-17	-0.045513	-0.030338
2011-01-14	-0.010398	-0.012862
2011-01-13	0.001077	0.002271
2011-01-12	0.002003	0.006155
2011-01-11	0.00438	0.004384
2011-01-10	-0.019308	-0.016553
2011-01-07	-0.002041	0.005171
2011-01-06	-0.003793	-0.005072
2011-01-05	-0.005261	-0.004927
2011-01-04	0.020545	0.015872
2010-12-31	0.026333	0.017576
2010-12-30	0.002008	0.002925
2010-12-29	0.004208	0.006783
2010-12-28	-0.019457	-0.017406
2010-12-27	-0.020201	-0.01896
2010-12-24	-0.006938	-0.007027
2010-12-23	-0.009585	-0.007881
2010-12-22	-0.008195	-0.009027
2010-12-21	0.025076	0.017946
2010-12-20	-0.015835	-0.014108
2010-12-17	-0.00282	-0.001518
2010-12-16	-0.002626	-0.00456
2010-12-15	-0.007523	-0.005351
2010-12-14	0.001673	0.001411
2010-12-13	0.035678	0.028832
2010-12-10	0.008678	0.010705
2010-12-09	-0.02078	-0.013199
2010-12-08	-0.003286	-0.009498
2010-12-07	0.018853	0.006539
2010-12-06	-0.001625	0.005188
2010-12-03	0.002738	-0.000414
2010-12-02	0.008012	0.007139
2010-12-01	-0.0021	0.001159
2010-11-30	-0.015974	-0.016109
2010-11-29	-0.000196	-0.00186
2010-11-26	-0.005163	-0.009165
2010-11-25	0.015831	0.013401
2010-11-24	0.028622	0.011192
2010-11-23	-0.019599	-0.019446
2010-11-22	0.000626	-0.001452
2010-11-19	0.012325	0.008066
2010-11-18	0.019186	0.009368
2010-11-17	-0.024537	-0.019237
2010-11-16	-0.046129	-0.039767
2010-11-15	0.006408	0.009706
2010-11-12	-0.070033	-0.051564
2010-11-11	-0.001513	0.010396
2010-11-10	-0.000628	-0.006266
2010-11-09	-0.006736	-0.007758
2010-11-08	0.005384	0.009591
2010-11-05	0.010123	0.013786
2010-11-04	0.01516	0.01846
2010-11-03	-0.018595	-0.004743
2010-11-02	-0.007081	-0.002812
2010-11-01	0.028169	0.02524
2010-10-29	-0.005786	-0.004593
2010-10-28	-0.000531	-0.001491
2010-10-27	-0.020233	-0.014629
2010-10-26	-0.000308	-0.003237
