,Comcd,Enddt,QVal,,Year10,Year11,Year12,Year13
247,c000026,2011,1.448784,,0,1,0,0
248,c000026,2012,1.018713,,0,0,1,0
249,c000026,2013,1.304872,,0,0,0,1
250,c000027,2003,0.91118,,0,0,0,0
251,c000027,2004,0.811679,,0,0,0,0
252,c000027,2005,0.770454,,0,0,0,0
253,c000027,2006,0.85673,,0,0,0,0
254,c000027,2007,1.307079,,0,0,0,0
255,c000027,2008,0.890317,,0,0,0,0
256,c000027,2009,0.94208,,0,0,0,0
257,c000027,2010,0.874648,,1,0,0,0
258,c000027,2011,0.917941,,0,1,0,0
259,c000027,2012,0.872245,,0,0,1,0
260,c000027,2013,0.513408,,0,0,0,1
261,c000028,2003,1.207554,,0,0,0,0
262,c000028,2004,1.146438,,0,0,0,0
263,c000028,2005,0.947543,,0,0,0,0
264,c000028,2006,1.087395,,0,0,0,0
265,c000028,2007,1.782553,,0,0,0,0
266,c000028,2008,1.517473,,0,0,0,0
267,c000028,2009,2.154654,,0,0,0,0
268,c000028,2010,2.13141,,1,0,0,0
269,c000028,2011,1.473811,,0,1,0,0
270,c000028,2012,1.74201,,0,0,1,0
271,c000028,2013,1.839194,,0,0,0,1
272,c000029,2003,1.153458,,0,0,0,0
273,c000029,2004,1.129249,,0,0,0,0
274,c000029,2005,1.118257,,0,0,0,0
275,c000029,2006,1.22619,,0,0,0,0
276,c000029,2007,1.809965,,0,0,0,0
277,c000029,2008,1.072571,,0,0,0,0
278,c000029,2009,2.565974,,0,0,0,0
279,c000029,2010,1.854846,,1,0,0,0
280,c000029,2011,1.391298,,0,1,0,0
281,c000029,2012,1.5332,,0,0,1,0
282,c000029,2013,1.309449,,0,0,0,1
295,c000030,2011,13.304268,,0,1,0,0
297,c000030,2013,0.99475,,0,0,0,1
298,c000031,2003,1.324153,,0,0,0,0
299,c000031,2004,1.327602,,0,0,0,0
300,c000031,2005,1.261252,,0,0,0,0
301,c000031,2006,1.821278,,0,0,0,0
302,c000031,2007,2.664528,,0,0,0,0
303,c000031,2008,1.2609,,0,0,0,0
304,c000031,2009,1.948088,,0,0,0,0
305,c000031,2010,1.126205,,1,0,0,0
306,c000031,2011,0.821925,,0,1,0,0
307,c000031,2012,0.846791,,0,0,1,0
308,c000031,2013,0.825674,,0,0,0,1
309,c000032,2003,1.140877,,0,0,0,0
310,c000032,2004,1.094357,,0,0,0,0
311,c000032,2005,1.007767,,0,0,0,0
312,c000032,2006,1.0108,,0,0,0,0
313,c000032,2007,1.493345,,0,0,0,0
314,c000032,2008,1.100073,,0,0,0,0
315,c000032,2009,1.752764,,0,0,0,0
316,c000032,2010,1.906807,,1,0,0,0
317,c000032,2011,1.23174,,0,1,0,0
318,c000032,2012,1.307713,,0,0,1,0
319,c000032,2013,1.58511,,0,0,0,1
320,c000033,2003,1.226832,,0,0,0,0
321,c000033,2004,1.120089,,0,0,0,0
322,c000033,2005,1.050054,,0,0,0,0
323,c000033,2006,1.376221,,0,0,0,0
324,c000033,2007,2.806969,,0,0,0,0
325,c000033,2008,1.820793,,0,0,0,0
326,c000033,2009,5.072787,,0,0,0,0
327,c000033,2010,3.787567,,1,0,0,0
328,c000033,2011,2.677427,,0,1,0,0
329,c000033,2012,3.354044,,0,0,1,0
330,c000033,2013,2.709732,,0,0,0,1
331,c000034,2003,1.172295,,0,0,0,0
338,c000034,2010,9.477736,,1,0,0,0
339,c000034,2011,6.827668,,0,1,0,0
340,c000034,2012,7.519816,,0,0,1,0
341,c000034,2013,4.459681,,0,0,0,1
342,c000035,2003,1.068554,,0,0,0,0
358,c000036,2003,0.855069,,0,0,0,0
359,c000036,2004,0.984937,,0,0,0,0
360,c000036,2005,0.871066,,0,0,0,0
361,c000036,2006,1.086031,,0,0,0,0
362,c000036,2007,1.25989,,0,0,0,0
363,c000036,2008,1.081046,,0,0,0,0
364,c000036,2009,2.602506,,0,0,0,0
365,c000036,2010,1.288609,,1,0,0,0
366,c000036,2011,0.897623,,0,1,0,0
367,c000036,2012,1.136059,,0,0,1,0
368,c000036,2013,0.989682,,0,0,0,1
369,c000037,2003,1.517313,,0,0,0,0
370,c000037,2004,1.23504,,0,0,0,0
371,c000037,2005,1.035449,,0,0,0,0
372,c000037,2006,1.023419,,0,0,0,0
373,c000037,2007,1.113686,,0,0,0,0
374,c000037,2008,0.917827,,0,0,0,0
375,c000037,2009,1.280435,,0,0,0,0
376,c000037,2010,1.133549,,1,0,0,0
377,c000037,2011,0.981847,,0,1,0,0
378,c000037,2013,0.966097,,0,0,0,1
379,c000038,2003,1.476269,,0,0,0,0
380,c000038,2004,1.304693,,0,0,0,0
381,c000038,2005,1.12068,,0,0,0,0
384,c000038,2008,1.176209,,0,0,0,0
385,c000038,2009,1.334336,,0,0,0,0
386,c000038,2010,1.26978,,1,0,0,0
387,c000038,2011,1.132932,,0,1,0,0
388,c000038,2012,1.031393,,0,0,1,0
389,c000038,2013,1.016524,,0,0,0,1
390,c000039,2003,0.931799,,0,0,0,0
391,c000039,2004,0.982833,,0,0,0,0
392,c000039,2004,0.982833,,0,0,0,0
393,c000039,2005,0.693109,,0,0,0,0
394,c000039,2006,1.040686,,0,0,0,0
395,c000039,2007,1.127871,,0,0,0,0
396,c000039,2008,0.684871,,0,0,0,0
397,c000039,2009,0.91491,,0,0,0,0
398,c000039,2010,1.07339,,1,0,0,0
399,c000039,2011,0.80103,,0,1,0,0
400,c000039,2012,0.751299,,0,0,1,0
401,c000039,2013,0.947408,,0,0,0,1
402,c000040,2003,1.319183,,0,0,0,0
403,c000040,2004,1.061353,,0,0,0,0
404,c000040,2005,0.908041,,0,0,0,0
405,c000040,2006,1.009785,,0,0,0,0
406,c000040,2007,1.959269,,0,0,0,0
407,c000040,2008,1.080918,,0,0,0,0
408,c000040,2009,1.691405,,0,0,0,0
